3 5 29 1 2 0 28 38 9 4 , 909732, 4660, 128.668
11 9 5 3 2 4 0 29 1 6 , 921800, 4366, 125.484
2 30 9 0 4 29 5 11 3 1 , 918995, 4080, 125.075
38 6 9 2 4 5 1 0 3 29 , 919697, 4443, 127.026
1 5 27 29 7 2 4 0 30 3 , 912536, 4120, 125.654
2 3 1 0 30 5 11 29 6 4 , 918380, 4115, 124.059
9 6 2 1 0 3 5 29 11 4 , 921800, 4017, 122.544
9 6 2 1 0 3 5 29 11 4 , 921800, 4017, 122.536
1 0 9 5 29 2 11 4 7 30 , 880041, 4257, 125.806
0 3 5 4 2 1 28 6 9 11 , 917185, 4191, 125.609
9 2 1 3 11 29 0 6 5 4 , 921800, 4215, 123.622
9 29 4 38 1 5 3 6 0 2 , 919697, 4231, 123.415
3 29 5 2 1 4 6 38 9 0 , 919697, 4552, 127.063
11 9 2 1 29 4 0 5 3 6 , 921800, 3898, 122.763
5 6 4 38 1 2 29 3 9 0 , 919697, 4119, 124.998
5 6 4 38 1 2 29 3 9 0 , 919697, 4119, 124.985
4 30 0 9 29 3 11 1 5 2 , 918995, 3946, 121.789
29 2 1 4 3 9 27 0 30 5 , 914489, 4248, 124.189
29 11 1 5 6 3 0 2 4 7 , 919847, 4039, 122.76
27 9 5 3 1 2 0 29 4 6 , 918699, 4539, 125.451
7 4 38 3 2 29 0 5 1 6 , 917743, 4276, 125.477
4 1 9 11 2 0 3 6 29 5 , 921800, 4121, 122.571
6 5 4 11 9 1 0 2 3 29 , 921800, 4040, 121.892
30 27 0 5 1 3 8 29 4 2 , 907877, 4234, 125.273
29 0 6 3 1 9 30 5 11 4 , 856563, 4126, 123.844
1 421 4 5 3 13 0 9 2 27 , 914326, 4155, 123.814
3 4 38 1 0 5 6 29 2 7 , 917743, 3894, 123.631
9 6 38 3 2 29 1 4 0 5 , 919697, 4191, 124.8
13 3 5 29 1 2 11 0 4 9 , 918194, 4021, 124.539
5 4 30 0 2 11 29 3 9 1 , 918995, 4177, 123.631
29 6 27 3 5 0 1 4 9 2 , 918699, 4515, 126.215
2 0 5 11 4 1 3 6 9 29 , 921800, 4194, 123.282
4 7 3 29 1 6 38 2 5 0 , 917743, 4237, 124.522
6 4 11 29 0 7 30 5 3 1 , 854610, 4107, 122.679
4 9 11 5 29 3 6 2 0 1 , 921800, 4276, 124.921
0 9 7 1 2 11 4 3 29 5 , 918883, 4158, 122.939
7 5 30 2 29 3 11 0 1 4 , 917042, 4209, 124.313
